lane	tile	row	col	rowshift	colshift
2	2626	1	1	0	0.1715
2	2627	1	2	0	0.1715
2	2628	1	3	0	0.1715
2	2629	1	4	0	0.1715
2	2630	1	5	0	0.1715
2	2631	1	6	0	0.1715
2	2632	1	7	0	0.1715
2	2633	1	8	0	0.1715
2	2634	1	9	0	0.1715
2	2635	1	10	0	0.1715
2	2526	2	1	0	0
2	2527	2	2	0	0
2	2528	2	3	0	0
2	2529	2	4	0	0
2	2530	2	5	0	0
2	2531	2	6	0	0
2	2532	2	7	0	0
2	2533	2	8	0	0
2	2534	2	9	0	0
2	2535	2	10	0	0
2	2426	3	1	0	0.1715
2	2427	3	2	0	0.1715
2	2428	3	3	0	0.1715
2	2429	3	4	0	0.1715
2	2430	3	5	0	0.1715
2	2431	3	6	0	0.1715
2	2432	3	7	0	0.1715
2	2433	3	8	0	0.1715
2	2434	3	9	0	0.1715
2	2435	3	10	0	0.1715
2	2326	4	1	0	0
2	2327	4	2	0	0
2	2328	4	3	0	0
2	2329	4	4	0	0
2	2330	4	5	0	0
2	2331	4	6	0	0
2	2332	4	7	0	0
2	2333	4	8	0	0
2	2334	4	9	0	0
2	2335	4	10	0	0
2	2226	5	1	0	0.1715
2	2227	5	2	0	0.1715
2	2228	5	3	0	0.1715
2	2229	5	4	0	0.1715
2	2230	5	5	0	0.1715
2	2231	5	6	0	0.1715
2	2232	5	7	0	0.1715
2	2233	5	8	0	0.1715
2	2234	5	9	0	0.1715
2	2235	5	10	0	0.1715
2	2126	6	1	0	0
2	2127	6	2	0	0
2	2128	6	3	0	0
2	2129	6	4	0	0
2	2130	6	5	0	0
2	2131	6	6	0	0
2	2132	6	7	0	0
2	2133	6	8	0	0
2	2134	6	9	0	0
2	2135	6	10	0	0
