lane	tile	row	col	rowshift	colshift
1	1601	1	1	0	0
1	1602	1	2	0	0
1	1603	1	3	0	0
1	1604	1	4	0	0
1	1605	1	5	0	0
1	1606	1	6	0	0
1	1607	1	7	0	0
1	1608	1	8	0	0
1	1609	1	9	0	0
1	1610	1	10	0	0
1	1501	2	1	0	0.1715
1	1502	2	2	0	0.1715
1	1503	2	3	0	0.1715
1	1504	2	4	0	0.1715
1	1505	2	5	0	0.1715
1	1506	2	6	0	0.1715
1	1507	2	7	0	0.1715
1	1508	2	8	0	0.1715
1	1509	2	9	0	0.1715
1	1510	2	10	0	0.1715
1	1401	3	1	0	0
1	1402	3	2	0	0
1	1403	3	3	0	0
1	1404	3	4	0	0
1	1405	3	5	0	0
1	1406	3	6	0	0
1	1407	3	7	0	0
1	1408	3	8	0	0
1	1409	3	9	0	0
1	1410	3	10	0	0
1	1301	4	1	0	0.1715
1	1302	4	2	0	0.1715
1	1303	4	3	0	0.1715
1	1304	4	4	0	0.1715
1	1305	4	5	0	0.1715
1	1306	4	6	0	0.1715
1	1307	4	7	0	0.1715
1	1308	4	8	0	0.1715
1	1309	4	9	0	0.1715
1	1310	4	10	0	0.1715
1	1201	5	1	0	0
1	1202	5	2	0	0
1	1203	5	3	0	0
1	1204	5	4	0	0
1	1205	5	5	0	0
1	1206	5	6	0	0
1	1207	5	7	0	0
1	1208	5	8	0	0
1	1209	5	9	0	0
1	1210	5	10	0	0
1	1101	6	1	0	0.1715
1	1102	6	2	0	0.1715
1	1103	6	3	0	0.1715
1	1104	6	4	0	0.1715
1	1105	6	5	0	0.1715
1	1106	6	6	0	0.1715
1	1107	6	7	0	0.1715
1	1108	6	8	0	0.1715
1	1109	6	9	0	0.1715
1	1110	6	10	0	0.1715
