lane	tile	row	col	rowshift	colshift
2	2617	1	1	0	0
2	2618	1	2	0	0
2	2619	1	3	0	0
2	2620	1	4	0	0
2	2621	1	5	0	0
2	2622	1	6	0	0
2	2623	1	7	0	0
2	2624	1	8	0	0
2	2625	1	9	0	0
2	2626	1	10	0	0
2	2517	2	1	0	0.1715
2	2518	2	2	0	0.1715
2	2519	2	3	0	0.1715
2	2520	2	4	0	0.1715
2	2521	2	5	0	0.1715
2	2522	2	6	0	0.1715
2	2523	2	7	0	0.1715
2	2524	2	8	0	0.1715
2	2525	2	9	0	0.1715
2	2526	2	10	0	0.1715
2	2417	3	1	0	0
2	2418	3	2	0	0
2	2419	3	3	0	0
2	2420	3	4	0	0
2	2421	3	5	0	0
2	2422	3	6	0	0
2	2423	3	7	0	0
2	2424	3	8	0	0
2	2425	3	9	0	0
2	2426	3	10	0	0
2	2317	4	1	0	0.1715
2	2318	4	2	0	0.1715
2	2319	4	3	0	0.1715
2	2320	4	4	0	0.1715
2	2321	4	5	0	0.1715
2	2322	4	6	0	0.1715
2	2323	4	7	0	0.1715
2	2324	4	8	0	0.1715
2	2325	4	9	0	0.1715
2	2326	4	10	0	0.1715
2	2217	5	1	0	0
2	2218	5	2	0	0
2	2219	5	3	0	0
2	2220	5	4	0	0
2	2221	5	5	0	0
2	2222	5	6	0	0
2	2223	5	7	0	0
2	2224	5	8	0	0
2	2225	5	9	0	0
2	2226	5	10	0	0
2	2117	6	1	0	0.1715
2	2118	6	2	0	0.1715
2	2119	6	3	0	0.1715
2	2120	6	4	0	0.1715
2	2121	6	5	0	0.1715
2	2122	6	6	0	0.1715
2	2123	6	7	0	0.1715
2	2124	6	8	0	0.1715
2	2125	6	9	0	0.1715
2	2126	6	10	0	0.1715
