lane	tile	row	col	rowshift	colshift
4	2635	1	1	0	0
4	2636	1	2	0	0
4	2637	1	3	0	0
4	2638	1	4	0	0
4	2639	1	5	0	0
4	2640	1	6	0	0
4	2641	1	7	0	0
4	2642	1	8	0	0
4	2643	1	9	0	0
4	2644	1	10	0	0
4	2535	2	1	0	0.1715
4	2536	2	2	0	0.1715
4	2537	2	3	0	0.1715
4	2538	2	4	0	0.1715
4	2539	2	5	0	0.1715
4	2540	2	6	0	0.1715
4	2541	2	7	0	0.1715
4	2542	2	8	0	0.1715
4	2543	2	9	0	0.1715
4	2544	2	10	0	0.1715
4	2435	3	1	0	0
4	2436	3	2	0	0
4	2437	3	3	0	0
4	2438	3	4	0	0
4	2439	3	5	0	0
4	2440	3	6	0	0
4	2441	3	7	0	0
4	2442	3	8	0	0
4	2443	3	9	0	0
4	2444	3	10	0	0
4	2335	4	1	0	0.1715
4	2336	4	2	0	0.1715
4	2337	4	3	0	0.1715
4	2338	4	4	0	0.1715
4	2339	4	5	0	0.1715
4	2340	4	6	0	0.1715
4	2341	4	7	0	0.1715
4	2342	4	8	0	0.1715
4	2343	4	9	0	0.1715
4	2344	4	10	0	0.1715
4	2235	5	1	0	0
4	2236	5	2	0	0
4	2237	5	3	0	0
4	2238	5	4	0	0
4	2239	5	5	0	0
4	2240	5	6	0	0
4	2241	5	7	0	0
4	2242	5	8	0	0
4	2243	5	9	0	0
4	2244	5	10	0	0
4	2135	6	1	0	0.1715
4	2136	6	2	0	0.1715
4	2137	6	3	0	0.1715
4	2138	6	4	0	0.1715
4	2139	6	5	0	0.1715
4	2140	6	6	0	0.1715
4	2141	6	7	0	0.1715
4	2142	6	8	0	0.1715
4	2143	6	9	0	0.1715
4	2144	6	10	0	0.1715
