lane	tile	row	col	rowshift	colshift
1	2661	1	1	0	0
1	2662	1	2	0	0
1	2663	1	3	0	0
1	2664	1	4	0	0
1	2665	1	5	0	0
1	2666	1	6	0	0
1	2667	1	7	0	0
1	2668	1	8	0	0
1	2669	1	9	0	0
1	2670	1	10	0	0
1	2671	1	11	0	0
1	2672	1	12	0	0
1	2673	1	13	0	0
1	2674	1	14	0	0
1	2675	1	15	0	0
1	2676	1	16	0	0
1	2677	1	17	0	0
1	2678	1	18	0	0
1	2561	2	1	0	0.1715
1	2562	2	2	0	0.1715
1	2563	2	3	0	0.1715
1	2564	2	4	0	0.1715
1	2565	2	5	0	0.1715
1	2566	2	6	0	0.1715
1	2567	2	7	0	0.1715
1	2568	2	8	0	0.1715
1	2569	2	9	0	0.1715
1	2570	2	10	0	0.1715
1	2571	2	11	0	0.1715
1	2572	2	12	0	0.1715
1	2573	2	13	0	0.1715
1	2574	2	14	0	0.1715
1	2575	2	15	0	0.1715
1	2576	2	16	0	0.1715
1	2577	2	17	0	0.1715
1	2578	2	18	0	0.1715
1	2461	3	1	0	0
1	2462	3	2	0	0
1	2463	3	3	0	0
1	2464	3	4	0	0
1	2465	3	5	0	0
1	2466	3	6	0	0
1	2467	3	7	0	0
1	2468	3	8	0	0
1	2469	3	9	0	0
1	2470	3	10	0	0
1	2471	3	11	0	0
1	2472	3	12	0	0
1	2473	3	13	0	0
1	2474	3	14	0	0
1	2475	3	15	0	0
1	2476	3	16	0	0
1	2477	3	17	0	0
1	2478	3	18	0	0
1	2361	4	1	0	0.1715
1	2362	4	2	0	0.1715
1	2363	4	3	0	0.1715
1	2364	4	4	0	0.1715
1	2365	4	5	0	0.1715
1	2366	4	6	0	0.1715
1	2367	4	7	0	0.1715
1	2368	4	8	0	0.1715
1	2369	4	9	0	0.1715
1	2370	4	10	0	0.1715
1	2371	4	11	0	0.1715
1	2372	4	12	0	0.1715
1	2373	4	13	0	0.1715
1	2374	4	14	0	0.1715
1	2375	4	15	0	0.1715
1	2376	4	16	0	0.1715
1	2377	4	17	0	0.1715
1	2378	4	18	0	0.1715
1	2261	5	1	0	0
1	2262	5	2	0	0
1	2263	5	3	0	0
1	2264	5	4	0	0
1	2265	5	5	0	0
1	2266	5	6	0	0
1	2267	5	7	0	0
1	2268	5	8	0	0
1	2269	5	9	0	0
1	2270	5	10	0	0
1	2271	5	11	0	0
1	2272	5	12	0	0
1	2273	5	13	0	0
1	2274	5	14	0	0
1	2275	5	15	0	0
1	2276	5	16	0	0
1	2277	5	17	0	0
1	2278	5	18	0	0
1	2161	6	1	0	0.1715
1	2162	6	2	0	0.1715
1	2163	6	3	0	0.1715
1	2164	6	4	0	0.1715
1	2165	6	5	0	0.1715
1	2166	6	6	0	0.1715
1	2167	6	7	0	0.1715
1	2168	6	8	0	0.1715
1	2169	6	9	0	0.1715
1	2170	6	10	0	0.1715
1	2171	6	11	0	0.1715
1	2172	6	12	0	0.1715
1	2173	6	13	0	0.1715
1	2174	6	14	0	0.1715
1	2175	6	15	0	0.1715
1	2176	6	16	0	0.1715
1	2177	6	17	0	0.1715
1	2178	6	18	0	0.1715
