lane	tile	row	col	rowshift	colshift
3	1601	1	1	0	0.1715
3	1602	1	2	0	0.1715
3	1603	1	3	0	0.1715
3	1604	1	4	0	0.1715
3	1605	1	5	0	0.1715
3	1606	1	6	0	0.1715
3	1607	1	7	0	0.1715
3	1608	1	8	0	0.1715
3	1609	1	9	0	0.1715
3	1610	1	10	0	0.1715
3	1501	2	1	0	0
3	1502	2	2	0	0
3	1503	2	3	0	0
3	1504	2	4	0	0
3	1505	2	5	0	0
3	1506	2	6	0	0
3	1507	2	7	0	0
3	1508	2	8	0	0
3	1509	2	9	0	0
3	1510	2	10	0	0
3	1401	3	1	0	0.1715
3	1402	3	2	0	0.1715
3	1403	3	3	0	0.1715
3	1404	3	4	0	0.1715
3	1405	3	5	0	0.1715
3	1406	3	6	0	0.1715
3	1407	3	7	0	0.1715
3	1408	3	8	0	0.1715
3	1409	3	9	0	0.1715
3	1410	3	10	0	0.1715
3	1301	4	1	0	0
3	1302	4	2	0	0
3	1303	4	3	0	0
3	1304	4	4	0	0
3	1305	4	5	0	0
3	1306	4	6	0	0
3	1307	4	7	0	0
3	1308	4	8	0	0
3	1309	4	9	0	0
3	1310	4	10	0	0
3	1201	5	1	0	0.1715
3	1202	5	2	0	0.1715
3	1203	5	3	0	0.1715
3	1204	5	4	0	0.1715
3	1205	5	5	0	0.1715
3	1206	5	6	0	0.1715
3	1207	5	7	0	0.1715
3	1208	5	8	0	0.1715
3	1209	5	9	0	0.1715
3	1210	5	10	0	0.1715
3	1101	6	1	0	0
3	1102	6	2	0	0
3	1103	6	3	0	0
3	1104	6	4	0	0
3	1105	6	5	0	0
3	1106	6	6	0	0
3	1107	6	7	0	0
3	1108	6	8	0	0
3	1109	6	9	0	0
3	1110	6	10	0	0
