lane	tile	row	col	rowshift	colshift
1	1653	1	1	0	0.1715
1	1654	1	2	0	0.1715
1	1655	1	3	0	0.1715
1	1656	1	4	0	0.1715
1	1657	1	5	0	0.1715
1	1658	1	6	0	0.1715
1	1659	1	7	0	0.1715
1	1660	1	8	0	0.1715
1	1661	1	9	0	0.1715
1	1662	1	10	0	0.1715
1	1553	2	1	0	0
1	1554	2	2	0	0
1	1555	2	3	0	0
1	1556	2	4	0	0
1	1557	2	5	0	0
1	1558	2	6	0	0
1	1559	2	7	0	0
1	1560	2	8	0	0
1	1561	2	9	0	0
1	1562	2	10	0	0
1	1453	3	1	0	0.1715
1	1454	3	2	0	0.1715
1	1455	3	3	0	0.1715
1	1456	3	4	0	0.1715
1	1457	3	5	0	0.1715
1	1458	3	6	0	0.1715
1	1459	3	7	0	0.1715
1	1460	3	8	0	0.1715
1	1461	3	9	0	0.1715
1	1462	3	10	0	0.1715
1	1353	4	1	0	0
1	1354	4	2	0	0
1	1355	4	3	0	0
1	1356	4	4	0	0
1	1357	4	5	0	0
1	1358	4	6	0	0
1	1359	4	7	0	0
1	1360	4	8	0	0
1	1361	4	9	0	0
1	1362	4	10	0	0
1	1253	5	1	0	0.1715
1	1254	5	2	0	0.1715
1	1255	5	3	0	0.1715
1	1256	5	4	0	0.1715
1	1257	5	5	0	0.1715
1	1258	5	6	0	0.1715
1	1259	5	7	0	0.1715
1	1260	5	8	0	0.1715
1	1261	5	9	0	0.1715
1	1262	5	10	0	0.1715
1	1153	6	1	0	0
1	1154	6	2	0	0
1	1155	6	3	0	0
1	1156	6	4	0	0
1	1157	6	5	0	0
1	1158	6	6	0	0
1	1159	6	7	0	0
1	1160	6	8	0	0
1	1161	6	9	0	0
1	1162	6	10	0	0
