lane	tile	row	col	rowshift	colshift
4	1653	1	1	0	0.1715
4	1654	1	2	0	0.1715
4	1655	1	3	0	0.1715
4	1656	1	4	0	0.1715
4	1657	1	5	0	0.1715
4	1658	1	6	0	0.1715
4	1659	1	7	0	0.1715
4	1660	1	8	0	0.1715
4	1661	1	9	0	0.1715
4	1662	1	10	0	0.1715
4	1553	2	1	0	0
4	1554	2	2	0	0
4	1555	2	3	0	0
4	1556	2	4	0	0
4	1557	2	5	0	0
4	1558	2	6	0	0
4	1559	2	7	0	0
4	1560	2	8	0	0
4	1561	2	9	0	0
4	1562	2	10	0	0
4	1453	3	1	0	0.1715
4	1454	3	2	0	0.1715
4	1455	3	3	0	0.1715
4	1456	3	4	0	0.1715
4	1457	3	5	0	0.1715
4	1458	3	6	0	0.1715
4	1459	3	7	0	0.1715
4	1460	3	8	0	0.1715
4	1461	3	9	0	0.1715
4	1462	3	10	0	0.1715
4	1353	4	1	0	0
4	1354	4	2	0	0
4	1355	4	3	0	0
4	1356	4	4	0	0
4	1357	4	5	0	0
4	1358	4	6	0	0
4	1359	4	7	0	0
4	1360	4	8	0	0
4	1361	4	9	0	0
4	1362	4	10	0	0
4	1253	5	1	0	0.1715
4	1254	5	2	0	0.1715
4	1255	5	3	0	0.1715
4	1256	5	4	0	0.1715
4	1257	5	5	0	0.1715
4	1258	5	6	0	0.1715
4	1259	5	7	0	0.1715
4	1260	5	8	0	0.1715
4	1261	5	9	0	0.1715
4	1262	5	10	0	0.1715
4	1153	6	1	0	0
4	1154	6	2	0	0
4	1155	6	3	0	0
4	1156	6	4	0	0
4	1157	6	5	0	0
4	1158	6	6	0	0
4	1159	6	7	0	0
4	1160	6	8	0	0
4	1161	6	9	0	0
4	1162	6	10	0	0
