lane	tile	row	col	rowshift	colshift
3	2644	1	1	0	0.1715
3	2645	1	2	0	0.1715
3	2646	1	3	0	0.1715
3	2647	1	4	0	0.1715
3	2648	1	5	0	0.1715
3	2649	1	6	0	0.1715
3	2650	1	7	0	0.1715
3	2651	1	8	0	0.1715
3	2652	1	9	0	0.1715
3	2653	1	10	0	0.1715
3	2544	2	1	0	0
3	2545	2	2	0	0
3	2546	2	3	0	0
3	2547	2	4	0	0
3	2548	2	5	0	0
3	2549	2	6	0	0
3	2550	2	7	0	0
3	2551	2	8	0	0
3	2552	2	9	0	0
3	2553	2	10	0	0
3	2444	3	1	0	0.1715
3	2445	3	2	0	0.1715
3	2446	3	3	0	0.1715
3	2447	3	4	0	0.1715
3	2448	3	5	0	0.1715
3	2449	3	6	0	0.1715
3	2450	3	7	0	0.1715
3	2451	3	8	0	0.1715
3	2452	3	9	0	0.1715
3	2453	3	10	0	0.1715
3	2344	4	1	0	0
3	2345	4	2	0	0
3	2346	4	3	0	0
3	2347	4	4	0	0
3	2348	4	5	0	0
3	2349	4	6	0	0
3	2350	4	7	0	0
3	2351	4	8	0	0
3	2352	4	9	0	0
3	2353	4	10	0	0
3	2244	5	1	0	0.1715
3	2245	5	2	0	0.1715
3	2246	5	3	0	0.1715
3	2247	5	4	0	0.1715
3	2248	5	5	0	0.1715
3	2249	5	6	0	0.1715
3	2250	5	7	0	0.1715
3	2251	5	8	0	0.1715
3	2252	5	9	0	0.1715
3	2253	5	10	0	0.1715
3	2144	6	1	0	0
3	2145	6	2	0	0
3	2146	6	3	0	0
3	2147	6	4	0	0
3	2148	6	5	0	0
3	2149	6	6	0	0
3	2150	6	7	0	0
3	2151	6	8	0	0
3	2152	6	9	0	0
3	2153	6	10	0	0
