lane	tile	row	col	rowshift	colshift
4	2653	1	1	0	0.1715
4	2654	1	2	0	0.1715
4	2655	1	3	0	0.1715
4	2656	1	4	0	0.1715
4	2657	1	5	0	0.1715
4	2658	1	6	0	0.1715
4	2659	1	7	0	0.1715
4	2660	1	8	0	0.1715
4	2661	1	9	0	0.1715
4	2662	1	10	0	0.1715
4	2663	1	11	0	0.1715
4	2664	1	12	0	0.1715
4	2665	1	13	0	0.1715
4	2666	1	14	0	0.1715
4	2667	1	15	0	0.1715
4	2668	1	16	0	0.1715
4	2669	1	17	0	0.1715
4	2670	1	18	0	0.1715
4	2553	2	1	0	0
4	2554	2	2	0	0
4	2555	2	3	0	0
4	2556	2	4	0	0
4	2557	2	5	0	0
4	2558	2	6	0	0
4	2559	2	7	0	0
4	2560	2	8	0	0
4	2561	2	9	0	0
4	2562	2	10	0	0
4	2563	2	11	0	0
4	2564	2	12	0	0
4	2565	2	13	0	0
4	2566	2	14	0	0
4	2567	2	15	0	0
4	2568	2	16	0	0
4	2569	2	17	0	0
4	2570	2	18	0	0
4	2453	3	1	0	0.1715
4	2454	3	2	0	0.1715
4	2455	3	3	0	0.1715
4	2456	3	4	0	0.1715
4	2457	3	5	0	0.1715
4	2458	3	6	0	0.1715
4	2459	3	7	0	0.1715
4	2460	3	8	0	0.1715
4	2461	3	9	0	0.1715
4	2462	3	10	0	0.1715
4	2463	3	11	0	0.1715
4	2464	3	12	0	0.1715
4	2465	3	13	0	0.1715
4	2466	3	14	0	0.1715
4	2467	3	15	0	0.1715
4	2468	3	16	0	0.1715
4	2469	3	17	0	0.1715
4	2470	3	18	0	0.1715
4	2353	4	1	0	0
4	2354	4	2	0	0
4	2355	4	3	0	0
4	2356	4	4	0	0
4	2357	4	5	0	0
4	2358	4	6	0	0
4	2359	4	7	0	0
4	2360	4	8	0	0
4	2361	4	9	0	0
4	2362	4	10	0	0
4	2363	4	11	0	0
4	2364	4	12	0	0
4	2365	4	13	0	0
4	2366	4	14	0	0
4	2367	4	15	0	0
4	2368	4	16	0	0
4	2369	4	17	0	0
4	2370	4	18	0	0
4	2253	5	1	0	0.1715
4	2254	5	2	0	0.1715
4	2255	5	3	0	0.1715
4	2256	5	4	0	0.1715
4	2257	5	5	0	0.1715
4	2258	5	6	0	0.1715
4	2259	5	7	0	0.1715
4	2260	5	8	0	0.1715
4	2261	5	9	0	0.1715
4	2262	5	10	0	0.1715
4	2263	5	11	0	0.1715
4	2264	5	12	0	0.1715
4	2265	5	13	0	0.1715
4	2266	5	14	0	0.1715
4	2267	5	15	0	0.1715
4	2268	5	16	0	0.1715
4	2269	5	17	0	0.1715
4	2270	5	18	0	0.1715
4	2153	6	1	0	0
4	2154	6	2	0	0
4	2155	6	3	0	0
4	2156	6	4	0	0
4	2157	6	5	0	0
4	2158	6	6	0	0
4	2159	6	7	0	0
4	2160	6	8	0	0
4	2161	6	9	0	0
4	2162	6	10	0	0
4	2163	6	11	0	0
4	2164	6	12	0	0
4	2165	6	13	0	0
4	2166	6	14	0	0
4	2167	6	15	0	0
4	2168	6	16	0	0
4	2169	6	17	0	0
4	2170	6	18	0	0
