lane	tile	row	col	rowshift	colshift
1	2669	1	1	0	0.1715
1	2670	1	2	0	0.1715
1	2671	1	3	0	0.1715
1	2672	1	4	0	0.1715
1	2673	1	5	0	0.1715
1	2674	1	6	0	0.1715
1	2675	1	7	0	0.1715
1	2676	1	8	0	0.1715
1	2677	1	9	0	0.1715
1	2678	1	10	0	0.1715
1	2569	2	1	0	0
1	2570	2	2	0	0
1	2571	2	3	0	0
1	2572	2	4	0	0
1	2573	2	5	0	0
1	2574	2	6	0	0
1	2575	2	7	0	0
1	2576	2	8	0	0
1	2577	2	9	0	0
1	2578	2	10	0	0
1	2469	3	1	0	0.1715
1	2470	3	2	0	0.1715
1	2471	3	3	0	0.1715
1	2472	3	4	0	0.1715
1	2473	3	5	0	0.1715
1	2474	3	6	0	0.1715
1	2475	3	7	0	0.1715
1	2476	3	8	0	0.1715
1	2477	3	9	0	0.1715
1	2478	3	10	0	0.1715
1	2369	4	1	0	0
1	2370	4	2	0	0
1	2371	4	3	0	0
1	2372	4	4	0	0
1	2373	4	5	0	0
1	2374	4	6	0	0
1	2375	4	7	0	0
1	2376	4	8	0	0
1	2377	4	9	0	0
1	2378	4	10	0	0
1	2269	5	1	0	0.1715
1	2270	5	2	0	0.1715
1	2271	5	3	0	0.1715
1	2272	5	4	0	0.1715
1	2273	5	5	0	0.1715
1	2274	5	6	0	0.1715
1	2275	5	7	0	0.1715
1	2276	5	8	0	0.1715
1	2277	5	9	0	0.1715
1	2278	5	10	0	0.1715
1	2169	6	1	0	0
1	2170	6	2	0	0
1	2171	6	3	0	0
1	2172	6	4	0	0
1	2173	6	5	0	0
1	2174	6	6	0	0
1	2175	6	7	0	0
1	2176	6	8	0	0
1	2177	6	9	0	0
1	2178	6	10	0	0
