lane	tile	row	col	rowshift	colshift
1	1644	1	1	0	0
1	1645	1	2	0	0
1	1646	1	3	0	0
1	1647	1	4	0	0
1	1648	1	5	0	0
1	1649	1	6	0	0
1	1650	1	7	0	0
1	1651	1	8	0	0
1	1652	1	9	0	0
1	1653	1	10	0	0
1	1544	2	1	0	0.1715
1	1545	2	2	0	0.1715
1	1546	2	3	0	0.1715
1	1547	2	4	0	0.1715
1	1548	2	5	0	0.1715
1	1549	2	6	0	0.1715
1	1550	2	7	0	0.1715
1	1551	2	8	0	0.1715
1	1552	2	9	0	0.1715
1	1553	2	10	0	0.1715
1	1444	3	1	0	0
1	1445	3	2	0	0
1	1446	3	3	0	0
1	1447	3	4	0	0
1	1448	3	5	0	0
1	1449	3	6	0	0
1	1450	3	7	0	0
1	1451	3	8	0	0
1	1452	3	9	0	0
1	1453	3	10	0	0
1	1344	4	1	0	0.1715
1	1345	4	2	0	0.1715
1	1346	4	3	0	0.1715
1	1347	4	4	0	0.1715
1	1348	4	5	0	0.1715
1	1349	4	6	0	0.1715
1	1350	4	7	0	0.1715
1	1351	4	8	0	0.1715
1	1352	4	9	0	0.1715
1	1353	4	10	0	0.1715
1	1244	5	1	0	0
1	1245	5	2	0	0
1	1246	5	3	0	0
1	1247	5	4	0	0
1	1248	5	5	0	0
1	1249	5	6	0	0
1	1250	5	7	0	0
1	1251	5	8	0	0
1	1252	5	9	0	0
1	1253	5	10	0	0
1	1144	6	1	0	0.1715
1	1145	6	2	0	0.1715
1	1146	6	3	0	0.1715
1	1147	6	4	0	0.1715
1	1148	6	5	0	0.1715
1	1149	6	6	0	0.1715
1	1150	6	7	0	0.1715
1	1151	6	8	0	0.1715
1	1152	6	9	0	0.1715
1	1153	6	10	0	0.1715
