lane	tile	row	col	rowshift	colshift
2	1644	1	1	0	0
2	1645	1	2	0	0
2	1646	1	3	0	0
2	1647	1	4	0	0
2	1648	1	5	0	0
2	1649	1	6	0	0
2	1650	1	7	0	0
2	1651	1	8	0	0
2	1652	1	9	0	0
2	1653	1	10	0	0
2	1544	2	1	0	0.1715
2	1545	2	2	0	0.1715
2	1546	2	3	0	0.1715
2	1547	2	4	0	0.1715
2	1548	2	5	0	0.1715
2	1549	2	6	0	0.1715
2	1550	2	7	0	0.1715
2	1551	2	8	0	0.1715
2	1552	2	9	0	0.1715
2	1553	2	10	0	0.1715
2	1444	3	1	0	0
2	1445	3	2	0	0
2	1446	3	3	0	0
2	1447	3	4	0	0
2	1448	3	5	0	0
2	1449	3	6	0	0
2	1450	3	7	0	0
2	1451	3	8	0	0
2	1452	3	9	0	0
2	1453	3	10	0	0
2	1344	4	1	0	0.1715
2	1345	4	2	0	0.1715
2	1346	4	3	0	0.1715
2	1347	4	4	0	0.1715
2	1348	4	5	0	0.1715
2	1349	4	6	0	0.1715
2	1350	4	7	0	0.1715
2	1351	4	8	0	0.1715
2	1352	4	9	0	0.1715
2	1353	4	10	0	0.1715
2	1244	5	1	0	0
2	1245	5	2	0	0
2	1246	5	3	0	0
2	1247	5	4	0	0
2	1248	5	5	0	0
2	1249	5	6	0	0
2	1250	5	7	0	0
2	1251	5	8	0	0
2	1252	5	9	0	0
2	1253	5	10	0	0
2	1144	6	1	0	0.1715
2	1145	6	2	0	0.1715
2	1146	6	3	0	0.1715
2	1147	6	4	0	0.1715
2	1148	6	5	0	0.1715
2	1149	6	6	0	0.1715
2	1150	6	7	0	0.1715
2	1151	6	8	0	0.1715
2	1152	6	9	0	0.1715
2	1153	6	10	0	0.1715
