lane	tile	row	col	rowshift	colshift
1	1644	1	1	0	0.0
1	1645	1	2	0	0.0
1	1646	1	3	0	0.0
1	1647	1	4	0	0.0
1	1648	1	5	0	0.0
1	1649	1	6	0	0.0
1	1650	1	7	0	0.0
1	1651	1	8	0	0.0
1	1652	1	9	0	0.0
1	1653	1	10	0	0.0
1	1654	1	11	0	0.0
1	1655	1	12	0	0.0
1	1656	1	13	0	0.0
1	1657	1	14	0	0.0
1	1658	1	15	0	0.0
1	1659	1	16	0	0.0
1	1660	1	17	0	0.0
1	1661	1	18	0	0.0
1	1662	1	19	0	0.0
1	1544	2	1	0	0.1715
1	1545	2	2	0	0.1715
1	1546	2	3	0	0.1715
1	1547	2	4	0	0.1715
1	1548	2	5	0	0.1715
1	1549	2	6	0	0.1715
1	1550	2	7	0	0.1715
1	1551	2	8	0	0.1715
1	1552	2	9	0	0.1715
1	1553	2	10	0	0.1715
1	1554	2	11	0	0.1715
1	1555	2	12	0	0.1715
1	1556	2	13	0	0.1715
1	1557	2	14	0	0.1715
1	1558	2	15	0	0.1715
1	1559	2	16	0	0.1715
1	1560	2	17	0	0.1715
1	1561	2	18	0	0.1715
1	1562	2	19	0	0.1715
1	1444	3	1	0	0.0
1	1445	3	2	0	0.0
1	1446	3	3	0	0.0
1	1447	3	4	0	0.0
1	1448	3	5	0	0.0
1	1449	3	6	0	0.0
1	1450	3	7	0	0.0
1	1451	3	8	0	0.0
1	1452	3	9	0	0.0
1	1453	3	10	0	0.0
1	1454	3	11	0	0.0
1	1455	3	12	0	0.0
1	1456	3	13	0	0.0
1	1457	3	14	0	0.0
1	1458	3	15	0	0.0
1	1459	3	16	0	0.0
1	1460	3	17	0	0.0
1	1461	3	18	0	0.0
1	1462	3	19	0	0.0
1	1344	4	1	0	0.1715
1	1345	4	2	0	0.1715
1	1346	4	3	0	0.1715
1	1347	4	4	0	0.1715
1	1348	4	5	0	0.1715
1	1349	4	6	0	0.1715
1	1350	4	7	0	0.1715
1	1351	4	8	0	0.1715
1	1352	4	9	0	0.1715
1	1353	4	10	0	0.1715
1	1354	4	11	0	0.1715
1	1355	4	12	0	0.1715
1	1356	4	13	0	0.1715
1	1357	4	14	0	0.1715
1	1358	4	15	0	0.1715
1	1359	4	16	0	0.1715
1	1360	4	17	0	0.1715
1	1361	4	18	0	0.1715
1	1362	4	19	0	0.1715
1	1244	5	1	0	0.0
1	1245	5	2	0	0.0
1	1246	5	3	0	0.0
1	1247	5	4	0	0.0
1	1248	5	5	0	0.0
1	1249	5	6	0	0.0
1	1250	5	7	0	0.0
1	1251	5	8	0	0.0
1	1252	5	9	0	0.0
1	1253	5	10	0	0.0
1	1254	5	11	0	0.0
1	1255	5	12	0	0.0
1	1256	5	13	0	0.0
1	1257	5	14	0	0.0
1	1258	5	15	0	0.0
1	1259	5	16	0	0.0
1	1260	5	17	0	0.0
1	1261	5	18	0	0.0
1	1262	5	19	0	0.0
1	1144	6	1	0	0.1715
1	1145	6	2	0	0.1715
1	1146	6	3	0	0.1715
1	1147	6	4	0	0.1715
1	1148	6	5	0	0.1715
1	1149	6	6	0	0.1715
1	1150	6	7	0	0.1715
1	1151	6	8	0	0.1715
1	1152	6	9	0	0.1715
1	1153	6	10	0	0.1715
1	1154	6	11	0	0.1715
1	1155	6	12	0	0.1715
1	1156	6	13	0	0.1715
1	1157	6	14	0	0.1715
1	1158	6	15	0	0.1715
1	1159	6	16	0	0.1715
1	1160	6	17	0	0.1715
1	1161	6	18	0	0.1715
1	1162	6	19	0	0.1715
