lane	tile	row	col	rowshift	colshift
3	1661	1	1	0	0
3	1662	1	2	0	0
3	1663	1	3	0	0
3	1664	1	4	0	0
3	1665	1	5	0	0
3	1666	1	6	0	0
3	1667	1	7	0	0
3	1668	1	8	0	0
3	1669	1	9	0	0
3	1670	1	10	0	0
3	1561	2	1	0	0.1715
3	1562	2	2	0	0.1715
3	1563	2	3	0	0.1715
3	1564	2	4	0	0.1715
3	1565	2	5	0	0.1715
3	1566	2	6	0	0.1715
3	1567	2	7	0	0.1715
3	1568	2	8	0	0.1715
3	1569	2	9	0	0.1715
3	1570	2	10	0	0.1715
3	1461	3	1	0	0
3	1462	3	2	0	0
3	1463	3	3	0	0
3	1464	3	4	0	0
3	1465	3	5	0	0
3	1466	3	6	0	0
3	1467	3	7	0	0
3	1468	3	8	0	0
3	1469	3	9	0	0
3	1470	3	10	0	0
3	1361	4	1	0	0.1715
3	1362	4	2	0	0.1715
3	1363	4	3	0	0.1715
3	1364	4	4	0	0.1715
3	1365	4	5	0	0.1715
3	1366	4	6	0	0.1715
3	1367	4	7	0	0.1715
3	1368	4	8	0	0.1715
3	1369	4	9	0	0.1715
3	1370	4	10	0	0.1715
3	1261	5	1	0	0
3	1262	5	2	0	0
3	1263	5	3	0	0
3	1264	5	4	0	0
3	1265	5	5	0	0
3	1266	5	6	0	0
3	1267	5	7	0	0
3	1268	5	8	0	0
3	1269	5	9	0	0
3	1270	5	10	0	0
3	1161	6	1	0	0.1715
3	1162	6	2	0	0.1715
3	1163	6	3	0	0.1715
3	1164	6	4	0	0.1715
3	1165	6	5	0	0.1715
3	1166	6	6	0	0.1715
3	1167	6	7	0	0.1715
3	1168	6	8	0	0.1715
3	1169	6	9	0	0.1715
3	1170	6	10	0	0.1715
